,bot
218784,0
86867,0
216857,0
96415,0
296165,1
133765,0
326960,0
240206,1
29744,1
276549,1
388262,0
216901,1
374424,1
352933,1
104453,1
273008,0
373864,0
384689,0
345288,0
252815,1
361144,0
142786,0
285587,1
377408,0
159767,0
319569,1
369214,1
3586,0
67330,0
188261,1
194738,1
268747,0
123552,0
212456,1
157996,0
342446,0
256234,1
291183,1
71732,1
332421,1
162650,0
69020,0
356644,1
45791,0
356655,1
336212,1
355098,0
177746,1
138039,1
129722,1
96949,1
268851,1
81115,0
132438,1
53016,0
340785,1
98162,0
31984,1
305330,1
298051,0
241973,1
105599,0
177148,1
289541,0
261879,1
117739,0
87562,1
307616,1
369570,0
292637,0
364431,1
99548,0
74238,0
308012,1
229349,0
350440,1
311317,0
63789,0
176403,0
310148,1
391426,1
350484,1
97725,0
132143,1
349303,0
232967,1
74761,0
408284,0
317412,0
323061,0
88597,0
126640,1
80514,0
333305,0
322651,0
17153,0
22876,0
88034,1
29199,1
337088,0
21914,0
352336,0
375807,0
328796,0
323206,0
316930,0
66403,0
166747,0
22683,0
207554,0
86717,0
198166,1
76504,0
269857,0
3367,0
49111,1
46356,1
141605,0
355169,1
188,0
293965,1
114847,0
390710,0
388793,1
104888,0
363323,0
254549,0
211116,0
153097,1
143062,0
12150,1
385526,0
85469,1
146816,1
315003,0
152356,0
113337,0
240867,0
365670,0
200926,0
192292,0
106013,0
172096,0
7387,0
362286,1
134493,0
141084,1
311813,1
301799,1
285745,1
296736,0
95712,1
283185,1
281640,0
303492,1
403391,0
6650,1
161308,0
316800,1
143625,0
121231,0
365591,0
52673,1
34536,0
110080,0
261652,1
159032,0
87408,1
350104,1
204176,0
253634,1
45282,0
16464,0
13520,1
45448,1
878,0
244463,0
274063,1
15053,1
347304,1
218216,1
330861,0
184701,0
351652,0
210838,0
367848,0
257925,0
127111,1
316821,1
76858,1
267453,0
343667,1
30281,1
330689,0
87002,0
13897,0
348431,0
280451,1
215997,0
341118,0
4790,1
154122,1
373682,0
347508,1
314707,1
60606,1
143110,1
69118,0
125252,1
406799,0
75483,0
361297,0
216262,1
161224,1
88370,1
10969,0
108299,0
215192,1
177005,0
100612,0
301816,1
309224,0
373506,1
113093,1
353869,0
267057,0
62142,1
193734,0
145043,1
161386,0
301265,1
238020,0
2348,1
363054,1
221013,0
134245,0
219293,1
164196,0
209822,0
193997,0
358590,1
181636,0
329980,1
305196,1
378028,0
114785,1
224937,1
166662,1
106659,0
150680,1
141028,1
393246,0
237605,1
313138,1
24362,1
185576,0
183710,1
28892,0
267601,0
325743,0
378588,0
11819,0
242745,1
377918,0
363024,1
75074,1
268268,1
315402,1
62403,0
317520,0
286853,0
63018,1
70454,1
127090,0
132717,1
59167,1
372855,0
236326,1
279199,0
2822,1
163628,1
286491,1
1802,1
25481,1
11094,0
311519,0
29271,0
350204,0
254279,1
178098,1
160668,1
392717,0
42852,1
58759,0
305238,0
137340,1
281961,0
191014,1
361988,1
340276,0
238382,1
452,1
250502,1
221687,1
321080,1
398024,0
227808,0
239028,0
330976,0
82573,1
184320,0
397540,0
75957,0
410262,0
234527,0
405699,0
64803,1
352441,0
371414,1
317680,1
99207,1
28549,0
6024,0
86058,1
322805,1
11085,0
70452,1
371324,1
191009,1
186874,1
256483,0
9918,0
389740,0
180843,0
256266,1
272286,0
77985,1
149156,0
18083,1
160107,0
320641,1
185970,1
8713,1
201796,0
303855,0
226491,0
313030,0
125693,1
295328,0
376192,1
27761,0
288888,1
237591,1
359126,1
330564,1
248220,1
93892,0
260041,0
336083,0
247857,0
243775,0
138317,0
106869,1
336204,1
123030,0
372827,0
274867,1
15440,0
289326,0
201276,0
371779,0
255313,0
167708,0
309730,0
109399,0
68771,0
158977,0
175055,0
198921,0
212278,1
128052,1
325956,0
163330,0
214175,1
181048,0
77838,0
255224,1
382906,1
303886,0
76705,1
138381,0
28853,0
215765,1
163155,0
244715,0
69158,0
146988,1
60369,1
171262,0
29604,1
90540,1
351622,0
28768,1
204285,0
121597,1
21657,1
143465,1
203932,0
31229,1
209309,0
33595,0
276818,1
394450,0
30884,0
131897,1
163072,1
402847,1
242278,1
201739,0
240666,1
228614,1
43718,1
16063,0
344873,1
225481,0
177428,1
409358,1
399383,0
149675,1
228851,0
22358,1
390566,1
327936,1
393715,0
224107,0
262794,1
273921,0
175009,0
172838,1
231037,1
403635,0
383464,0
208407,1
158500,0
102813,1
308968,1
223579,0
356855,1
244521,0
386656,0
136986,1
96400,0
224684,0
184745,0
409308,1
13535,1
22342,1
387504,1
76564,0
66633,1
43348,1
158066,1
294073,1
121895,1
220001,0
135457,0
241708,0
169139,0
221863,1
223782,1
346031,0
313299,1
1978,1
315871,0
295814,0
347067,0
274501,1
339511,1
260127,1
76960,0
31859,1
322972,1
252477,0
248116,0
286953,0
12113,1
161043,0
3183,0
243429,1
143491,1
325610,1
299349,0
150244,0
49969,1
205891,1
115635,0
218319,1
230574,1
385021,1
360681,1
107119,0
242431,1
137446,1
51755,0
238659,0
393385,1
236833,0
176325,1
12036,1
359261,1
99382,0
287803,0
407390,0
327130,0
297080,0
101117,1
22207,0
5584,1
84256,0
382105,1
134921,1
62086,1
159069,0
163105,0
223894,0
71069,1
191647,0
186429,0
188402,1
2468,0
118495,0
343145,1
234693,1
233682,0
319081,0
313174,1
269969,0
292100,0
193537,0
208909,1
96610,0
49472,1
4451,1
260922,1
105317,0
9129,0
131048,0
239795,0
147584,0
26169,0
258274,1
123683,1
35791,0
324277,1
109001,1
164235,0
173279,1
78598,1
140565,1
373711,0
299387,0
152854,0
297774,0
104029,1
251815,0
12973,0
29758,1
346531,0
49723,0
118576,0
327427,1
285187,0
84329,1
267763,1
232182,1
162118,1
400914,0
57166,0
274121,0
271957,1
120950,0
226617,0
236598,0
343349,1
184517,1
103346,1
126118,0
106947,1
347897,0
291682,1
265171,0
55070,0
390705,0
122316,1
218189,0
18328,0
279630,1
105624,1
175130,1
354946,1
188133,1
131772,1
71265,0
360969,0
342589,0
16224,0
87927,1
349384,0
94535,1
104385,0
226874,1
178168,1
371110,1
132235,1
262271,0
254275,1
238721,0
237679,1
20328,0
364054,1
390232,1
255682,0
386289,0
37564,0
35515,0
211891,1
269881,0
8893,1
145824,1
321250,1
394121,1
253245,1
237988,1
102822,1
393839,0
236003,1
372971,1
262825,0
261391,0
277955,1
111377,0
281402,0
327351,0
341652,0
94317,1
39195,0
78346,1
293207,1
358179,1
117589,0
278398,0
148431,1
92395,0
332771,1
71431,1
117319,0
311705,1
234852,1
78166,1
167336,1
291979,0
50297,1
199460,1
118373,1
29480,1
99909,0
13121,1
105905,1
9010,1
316837,1
364808,0
372021,1
76031,0
341946,0
404209,0
316518,0
32131,1
96484,0
322987,1
29157,1
337563,1
299811,1
134068,1
313615,0
234994,0
48887,0
316622,0
256958,1
315647,1
238571,0
269458,1
339772,1
404944,0
83000,1
128635,0
351954,0
371577,0
201650,0
334565,1
20956,1
404797,1
142717,0
273901,0
14806,1
352748,1
382086,0
148339,0
143217,1
211604,1
51965,1
127031,0
271932,1
304083,1
20305,0
183184,0
241433,1
306245,0
4988,1
263552,1
23305,1
195496,1
123936,1
296409,0
122596,0
109013,1
15777,0
169888,1
410083,0
372764,1
278838,1
80820,0
140830,0
186298,1
226639,0
81629,0
113108,1
123537,0
138800,0
244675,1
396663,0
361338,1
220073,0
122108,0
386286,0
79263,0
122057,1
338563,1
254825,0
335730,0
147372,1
184744,0
126863,1
7681,1
251618,0
80907,0
281069,1
195580,1
96289,1
367929,1
182767,1
135841,0
110916,0
296775,0
393537,0
202332,1
297829,0
111695,1
270598,0
236420,0
93132,1
350438,1
103879,1
205320,1
62591,1
403519,1
138880,0
322870,1
136249,0
162499,1
360410,1
1318,0
308946,1
212519,0
147591,0
381439,0
155910,0
234481,1
236116,0
63563,0
68892,0
383635,1
354473,0
405816,0
64299,0
30174,1
247495,0
147009,0
73909,1
76770,1
44819,1
313642,0
282991,0
181616,0
223511,0
79073,1
357256,0
325984,0
43188,0
318381,0
23790,0
392018,0
225828,1
16484,0
238732,0
190027,1
8728,1
289382,0
364630,1
206756,1
46578,0
212790,0
22806,0
340952,1
210396,1
38471,1
228033,1
180979,0
263866,1
24706,0
86973,1
197799,0
34196,1
251873,0
224687,0
298211,1
9686,0
8808,1
321727,0
64306,1
240726,1
259133,0
166615,1
43642,1
64177,1
278622,1
25486,1
352049,0
325392,1
213699,1
115255,1
240004,0
351291,1
344082,0
4236,1
114584,0
260222,0
175270,1
407520,0
181435,1
89202,0
323141,1
211945,1
187773,1
136858,1
202221,1
407401,0
387309,0
198906,0
365085,1
202807,1
390587,1
153135,0
274507,1
259073,1
302324,1
162896,0
197962,1
183706,1
372186,0
197960,1
308092,1
113588,1
346743,0
268224,1
77342,1
168436,0
383005,0
71230,0
89659,0
330321,0
348593,1
54063,0
123172,0
46696,0
193957,0
403745,1
101256,1
133126,1
102907,0
313121,1
115905,1
79701,1
143047,0
299898,1
265951,1
264769,1
344662,1
92403,1
182426,1
242253,1
62076,1
254494,1
178043,1
111615,1
400971,0
52686,1
408697,0
176432,0
209597,1
135296,1
285611,0
63956,0
42144,1
137877,1
47857,0
182070,1
302983,0
239384,0
391222,0
157111,1
400678,1
51798,0
294522,0
246672,1
397294,0
399463,1
298319,1
191418,0
33281,0
128634,0
267321,0
333611,0
91191,0
126124,0
160138,0
46870,1
209082,0
341883,1
117689,1
70885,0
249260,0
51665,1
64107,1
405936,0
37378,1
3470,1
406288,0
243301,1
146130,1
252623,0
31292,1
266014,0
171069,1
332431,1
79558,1
250469,1
326925,0
213410,0
214843,1
340038,1
394341,0
22539,0
119815,0
402424,1
256553,1
203725,0
282945,0
215051,1
105422,0
379936,1
375039,1
307427,1
278121,0
286331,1
317349,1
89873,0
141052,1
196924,0
266449,1
407573,0
2314,1
406100,0
37476,0
41961,1
87850,1
356297,0
383151,1
100457,1
51862,1
172279,0
9847,0
119536,0
67999,0
311985,0
76819,1
286372,1
234067,1
124288,0
104688,0
347966,1
316980,0
319669,1
72680,1
378110,1
179175,1
190525,0
140406,0
262412,0
379867,0
156472,0
357346,1
236603,1
161262,1
158225,0
226193,0
42420,0
53722,0
377401,0
403114,0
290651,0
287766,1
73439,0
71489,1
36347,1
75896,1
56507,0
4188,1
392881,0
118065,0
343816,1
251807,0
76999,0
332639,1
97767,0
377924,0
126951,1
177614,0
309557,0
311506,0
285171,0
226999,0
105004,1
131976,1
290468,1
295191,0
15095,1
90397,0
35065,0
355349,1
99375,0
209672,0
153297,1
44043,1
159900,0
312049,0
371670,1
245790,0
43843,0
58003,1
59030,1
337604,1
320596,0
379167,1
97876,0
320416,0
251584,0
23926,0
124131,1
120460,1
29676,1
106092,0
188319,0
276022,0
368803,0
92259,0
277535,1
169867,1
193224,1
232536,1
67000,1
117590,0
57763,0
136142,1
151268,0
403099,1
346707,0
233988,0
224320,1
337208,0
47537,1
354675,0
7831,1
198562,0
272865,0
5916,1
312289,0
384174,1
172732,1
393646,0
371001,0
28753,1
363747,0
226905,0
46379,1
365147,1
137797,0
66603,1
149798,0
408821,0
211358,1
322211,1
380229,0
369119,1
233057,0
227886,0
189170,0
371276,0
349296,1
38853,1
363060,1
25631,0
27246,1
384910,1
59758,0
49926,1
223524,0
305019,1
263371,1
102395,1
333446,1
26703,0
4963,1
85188,0
88902,0
173520,1
108918,1
191447,0
178718,0
360267,1
380377,0
351526,0
53461,1
23802,0
363252,0
387254,1
47645,0
392183,1
289935,1
322592,1
268476,0
239245,0
69753,0
33502,0
279459,1
7984,0
156318,0
82721,1
60721,1
220387,1
9846,0
316684,0
23317,1
394102,1
116112,1
136886,1
44079,1
255089,1
392128,1
162427,1
113918,0
204849,1
225980,0
363025,1
112496,1
31323,0
199279,1
234628,1
362674,0
82077,1
347122,0
353228,1
145478,0
246514,0
116379,0
296939,0
355578,1
136031,1
71737,1
47586,1
16321,1
395539,1
238063,0
280755,0
119471,0
192377,1
20015,0
35070,0
222398,0
18643,1
302951,0
73835,0
33080,1
380868,0
160510,0
34520,0
282312,1
393081,1
303927,1
188251,1
203382,0
14066,1
193690,1
236413,0
64978,0
251501,0
89629,0
138340,0
193118,1
369165,1
36752,1
376211,0
11898,0
185456,0
128012,1
29545,1
154385,0
321062,1
95842,1
339054,1
6469,1
359308,1
304262,1
231658,1
317276,0
154235,0
87070,0
65454,0
183210,0
273847,0
92452,1
131194,1
382435,1
275846,0
1484,0
107537,1
8748,1
262253,0
264547,0
250479,1
171315,1
76651,0
317517,0
378608,1
79143,0
254442,1
262089,0
293066,1
90264,0
16981,0
189538,1
346202,0
37981,1
376576,0
403135,0
238241,1
320558,0
291181,1
248667,1
126076,1
221771,0
302924,0
319645,1
225441,0
19745,1
122264,1
115283,1
285164,0
360988,0
151721,1
308938,1
204190,0
57609,0
337027,0
333968,0
146129,1
295558,1
64953,0
68248,0
164464,1
133892,1
261838,1
168600,0
163071,1
254026,1
264763,1
280073,0
278808,1
215699,0
41978,1
326114,0
10903,0
360702,1
383080,0
102096,1
265237,0
71852,1
368193,0
273486,0
194635,0
81191,0
121073,0
255236,1
160458,1
121137,1
397916,1
33840,1
149260,0
161346,0
146549,1
75273,0
91612,1
12941,0
303808,0
224891,0
258431,1
265412,1
171913,1
322281,1
297816,0
57821,1
136277,0
221718,0
